EpochTime,181.feed_4958.count,181.feed_4958.pm1,181.feed_4958.pm10,181.feed_4958.pm2.5
1435679391,120800,9.1,11.9,10.2
1435679397,120400,9,9,9
1435679403,115850,8.6,8.9,8.9
1435679409,122400,9.1,9.1,9.1
1435679415,118550,8.8,8.8,8.8
1435679421,118800,8.9,9.3,9.2
1435679427,121800,9,11,10.2
1435679433,119850,8.7,8.9,8.9
1435679439,118000,8.5,8.5,8.5
1435679445,122650,9,12.3,9.5
1435679451,123550,9.1,9.3,9.3
1435679457,116600,8.7,9.2,9.1
1435679463,117200,8.8,8.9,8.8
1435679469,122150,9,11,10.5
1435679475,116700,8.6,9.1,9.1
1435679481,117600,8.7,9.3,9.2
1435679487,118250,8.8,8.8,8.8
1435679493,116850,8.6,10.9,10.3
1435679499,117550,8.7,9.8,9.7
1435679505,116250,8.4,8.5,8.5
1435679511,120300,8.8,9.2,9.2
1435679517,117650,8.9,9.4,9.4
1435679523,115300,8.6,8.8,8.8
1435679529,119600,8.9,9.8,9.5
1435679535,114050,8.4,8.9,8.8
1435679541,117900,8.7,12.7,9.4
1435679547,121800,8.9,9.7,9.6
1435679553,115150,8.7,8.7,8.7
1435679559,118300,8.6,10.2,9.8
1435679565,118650,8.9,9.2,9.2
1435679571,117050,8.5,9.3,9.2
1435679577,122700,9.2,9.4,9.4
1435679583,115900,8.8,9,9
1435679589,118250,8.8,9,9
1435679595,122550,9.1,10,9.6
1435679601,118050,8.6,9.2,9.2
1435679607,119600,8.9,10.3,9.8
1435679613,117100,8.7,9.8,9.3
1435679619,116200,8.7,9.7,9.5
1435679625,117950,8.5,9,9
1435679631,123800,9.1,10.2,10.1
1435679637,118250,8.8,9.3,9.2
1435679643,118650,8.6,8.8,8.8
1435679649,116100,8.5,8.9,8.8
1435679661,115150,8.5,9,9
1435679667,117500,8.5,8.6,8.6
1435679673,123050,9.1,9.5,9.5
1435679679,113800,8.3,8.5,8.4
1435679685,120900,8.9,9.6,9.5
1435679691,121350,9.1,10,9.9
1435679697,119550,8.7,8.7,8.7
1435679703,117450,8.7,8.7,8.7
1435679709,120350,9,9.2,9.2
1435679715,116950,8.8,9,9
1435679721,119600,8.6,9.2,9.2
1435679727,115900,8.4,8.8,8.8
1435679733,114750,8.2,8.2,8.2
1435679739,120200,8.8,8.8,8.8
1435679745,119150,8.7,10.8,10.1
1435679751,119500,8.5,8.5,8.5
1435679757,118800,8.7,10.2,9.9
1435679763,120800,8.8,9.2,9.1
1435679769,119600,9.1,12.1,9.7
1435679775,114050,8.4,8.5,8.5
1435679781,117650,8.6,9.2,9.1
1435679787,121150,9.1,9.8,9.7
1435679793,116850,8.6,8.6,8.6
1435679799,118500,9,9.1,9.1
1435679805,117500,8.7,9.4,9.2
1435679811,119300,8.8,9.5,9.4
1435679817,117900,8.5,8.9,8.9
1435679823,116250,8.4,9.1,8.9
1435679829,122900,9.1,9.5,9.5
1435679835,116400,8.7,8.9,8.9
1435679841,121400,8.7,8.8,8.8
1435679847,114950,8.7,10.9,9.8
1435679853,120400,8.8,9,9
1435679859,115450,8.6,9.5,9.2
1435679865,117800,8.9,9,9
1435679871,123250,9.2,9.4,9.4
1435679877,118350,8.9,9.8,9.6
1435679883,116050,8.7,8.8,8.8
1435679889,118350,8.8,10.8,10.1
1435679895,118350,8.8,9,9
1435679901,115100,8.3,10.8,9.2
1435679907,117250,8.8,8.9,8.9
1435679913,118100,8.7,8.8,8.8
1435679919,116500,8.6,9.9,9.3
1435679925,113750,8.6,9.7,9.5
1435679931,119350,9.1,10,9.8
1435679937,121500,9,9,9
1435679943,119600,8.6,9,8.9
1435679949,114250,8.7,8.7,8.7
1435679955,117650,8.7,8.8,8.8
1435679961,119400,8.9,10.4,9.7
1435679967,113600,8.5,8.5,8.5
1435679973,116100,8.6,10.1,9.7
1435679979,119750,8.8,9.9,9.4
1435679985,119150,8.9,9.1,9.1
1435679991,115500,8.7,8.7,8.7
1435679997,114550,8.5,8.7,8.7
1435680003,116750,8.6,11.2,9.8
1435680009,116550,8.7,9.8,9.4
1435680015,119200,9,11,9.7
1435680021,119600,9.3,9.4,9.4
1435680027,117900,8.6,10,9.4
1435680033,118400,8.8,9.2,9.1
1435680039,117250,8.6,8.9,8.9
1435680045,115400,8.5,8.9,8.8
1435680051,114450,8.3,8.8,8.7
1435680057,118200,9,11.1,9.7
1435680063,116250,8.6,8.9,8.9
1435680069,116500,8.8,8.8,8.8
1435680075,116850,8.5,10.6,9.2
1435680081,109900,8.4,8.8,8.7
1435680087,115200,8.2,8.9,8.8
1435680093,116700,8.7,9.1,9.1
1435680099,116900,8.7,9.1,9.1
1435680105,116450,8.8,9.5,9.5
1435680111,113100,8.2,8.2,8.2
1435680117,115900,8.9,9.7,9.6
1435680123,113700,8.2,9.6,8.9
1435680129,116400,8.7,8.7,8.7
1435680135,113300,8.4,9,8.9
1435680141,118600,8.7,8.7,8.7
1435680147,115950,8.7,8.7,8.7
1435680153,114250,8.3,8.3,8.3
1435680159,113650,8.1,8.2,8.2
1435680165,112950,8.3,8.3,8.3
1435680171,114750,8.3,8.3,8.3
1435680177,113700,8.3,9.2,8.9
1435680183,114650,8.4,8.5,8.5
1435680189,116200,8.7,8.8,8.8
1435680195,111700,8.2,8.3,8.3
1435680201,117800,8.7,8.9,8.9
1435680207,114950,8.6,8.8,8.8
1435680213,114000,8.3,8.5,8.5
1435680219,110750,8.3,8.6,8.6
1435680225,117650,8.7,9.8,9.4
1435680231,112400,8.1,8.1,8.1
1435680237,114900,8.4,8.5,8.5
1435680243,114400,8.4,8.5,8.5
1435680249,116150,8.6,8.6,8.6
1435680255,115250,8.7,9.2,9.2
1435680261,115750,8.6,9.5,9.3
1435680267,115050,8.6,8.6,8.6
1435680273,115750,8.9,9,9
1435680279,114550,8.6,9.2,9.2
1435680285,116200,8.6,8.8,8.8
1435680291,112350,8.3,9,8.9
1435680297,115300,8.6,8.8,8.8
1435680303,112950,8.5,8.6,8.6
1435680309,114150,8.3,8.6,8.6
1435680315,118200,8.7,8.7,8.7
1435680321,118950,9,9.1,9.1
1435680327,116000,8.4,8.5,8.5
1435680333,116500,8.7,9,9
1435680339,118400,8.7,8.8,8.8
1435680345,110800,8.2,8.5,8.5
1435680351,112700,8.2,8.4,8.3
1435680357,113250,8.4,8.4,8.4
1435680363,117000,8.5,9.2,9.1
1435680369,121450,9,9.1,9.1
1435680375,113700,8.5,8.6,8.6
1435680381,111050,8.2,8.2,8.2
1435680387,111450,8.3,8.6,8.6
1435680393,116700,8.7,8.8,8.8
1435680399,113750,8.2,8.3,8.3
1435680405,117150,8.9,9,9
1435680411,113950,8.5,9.6,9.4
1435680417,113750,8.4,8.8,8.7
1435680423,113600,8.6,8.6,8.6
1435680429,114450,8.4,8.8,8.7
1435680435,115950,8.9,9,9
1435680441,115000,8.7,9.4,9.3
1435680447,115050,8.4,9,8.9
1435680453,114350,8,8,8
1435680459,113600,8.5,10,9.8
1435680465,113600,8.4,8.4,8.4
1435680471,115300,8.6,9.2,9.1
1435680477,110800,8.2,8.2,8.2
1435680483,114550,8.5,8.8,8.8
1435680489,112550,8.3,8.3,8.3
1435680495,116450,8.6,9.8,9.1
1435680501,108000,8.1,8.1,8.1
1435680507,115950,8.6,8.6,8.6
1435680513,113150,8.2,9,8.8
1435680519,115250,8.7,9,8.9
1435680525,115950,8.7,9.6,9.2
1435680531,113650,8.6,8.7,8.6
1435680537,111100,8.3,8.6,8.6
1435680543,115400,8.3,8.4,8.4
1435680549,120400,9,10.9,10.1
1435680555,115250,8.8,9.1,9
1435680561,115600,8.5,8.6,8.6
1435680567,117700,8.9,9.1,9.1
1435680573,114000,8.5,8.7,8.7
1435680579,115450,8.5,8.5,8.5
1435680585,115250,8.5,8.6,8.6
1435680591,112300,8.1,8.5,8.5
1435680597,110150,8.2,8.5,8.5
1435680603,115300,8.5,8.5,8.5
1435680609,115950,8.6,9.6,9.2
1435680615,116850,8.8,9.9,9.5
1435680621,113300,8.5,8.9,8.9
1435680627,114400,8.2,8.2,8.2
1435680633,111800,8.5,8.5,8.5
1435680639,113700,8.5,8.7,8.7
1435680645,114800,8.4,8.5,8.5
1435680651,118050,8.7,8.8,8.8
1435680657,116250,8.6,8.6,8.6
1435680663,113800,8.3,8.7,8.7
1435680669,111350,8.3,8.3,8.3
1435680675,111600,8.3,8.7,8.6
1435680681,111500,8.2,8.2,8.2
1435680687,114700,8.4,8.4,8.4
1435680693,116500,8.8,8.8,8.8
1435680699,113600,8.4,8.4,8.4
1435680705,112800,8.3,8.4,8.4
1435680711,110750,8.1,8.3,8.3
1435680717,114800,8.2,8.3,8.3
1435680723,113300,8.3,8.5,8.5
1435680729,115600,8.7,9.1,9.1
1435680735,113350,8.3,10.7,10
1435680741,111050,8,8.1,8.1
1435680747,113600,8.5,8.5,8.5
1435680753,117500,8.8,8.9,8.9
